"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"AMERICAN HISTORY","1076-8866","","HISTORYNET","1919 GALLOWS RD , VIENNA, United States, VA, 22182","","History"
"AMERICAN IMAGO","0065-860X","1085-7931","JOHNS HOPKINS UNIV PRESS","JOURNALS PUBLISHING DIVISION, 2715 NORTH CHARLES ST, BALTIMORE, USA, MD, 21218-4363","","General"
"AMERICAN INDIAN CULTURE AND RESEARCH JOURNAL","0161-6463","","U C L A, AMER INDIAN STUDIES CENTER","3220 CAMPBELL HALL, BOX 951548, LOS ANGELES, USA, CA, 90095-1548","","History"
"AMERICAN JEWISH HISTORY","0164-0178","1086-3141","JOHNS HOPKINS UNIV PRESS","JOURNALS PUBLISHING DIVISION, 2715 NORTH CHARLES ST, BALTIMORE, USA, MD, 21218-4363","","History"
"AMERICAN JOURNAL OF ARCHAEOLOGY","0002-9114","1939-828X","ARCHAEOLOGICAL INST AMERICA","656 BEACON STREET, BOSTON, USA, MA, 02215","","Archaeology"
"AMERICAN JOURNAL OF PHILOLOGY","0002-9475","1086-3168","JOHNS HOPKINS UNIV PRESS","JOURNALS PUBLISHING DIVISION, 2715 NORTH CHARLES ST, BALTIMORE, USA, MD, 21218-4363","","Classical Studies"
"AMERICAN JOURNAL OF SEMIOTICS","0277-7126","2153-2990","PHILOSOPHY DOCUMENTATION CENTER","PO BOX 7147, CHARLOTTESVILLE, USA, VA, 22906-7147","","General"
"AMERICAN LITERARY HISTORY","0896-7148","1468-4365","OXFORD UNIV PRESS INC","JOURNALS DEPT, 2001 EVANS RD, CARY, USA, NC, 27513","","Literature"
"AMERICAN LITERARY REALISM","0002-9823","2326-9235","UNIV ILLINOIS PRESS","1325 S OAK ST, CHAMPAIGN, USA, IL, 61820-6903","","Literature"
"AMERICAN LITERATURE","0002-9831","1527-2117","DUKE UNIV PRESS","905 W MAIN ST, STE 18-B, DURHAM, USA, NC, 27701","","Literature"
"AMERICAN MUSIC","0734-4392","1945-2349","UNIV ILLINOIS PRESS","1325 S OAK ST, CHAMPAIGN, USA, IL, 61820-6903","","Performing Arts"
"AMERICAN PHILOSOPHICAL QUARTERLY","0003-0481","2152-1123","UNIV ILLINOIS PRESS","1325 S OAK ST, CHAMPAIGN, USA, IL, 61820-6903","","Philosophy"
"AMERICAN POETRY REVIEW","0360-3709","2162-4984","OLD CITY PUBLISHING INC","628 NORTH 2ND ST, PHILADELPHIA, USA, PA, 19123","","Literature"
"AMERICAN QUARTERLY","0003-0678","1080-6490","JOHNS HOPKINS UNIV PRESS","JOURNALS PUBLISHING DIVISION, 2715 NORTH CHARLES ST, BALTIMORE, USA, MD, 21218-4363","","General"
"AMERICAN SCHOLAR","0003-0937","2162-2892","PHI BETA KAPPA SOC","1785 MASSACHUSETTS AVENUE, N W FOURTH FL,, WASHINGTON, USA, DC, 20036","","General"
"AMERICAN SPEECH","0003-1283","1527-2133","DUKE UNIV PRESS","905 W MAIN ST, STE 18-B, DURHAM, USA, NC, 27701","English","Language & Linguistics"
"AMERICAN STUDIES IN SCANDINAVIA","0044-8060","0044-8060","ODENSE UNIV PRESS","CAMPUSVEJ 55, ODENSE M, DENMARK, 5230","","General"
"AMERICAS","0003-1615","1533-6247","CAMBRIDGE UNIV PRESS","32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473","English","History"
"ANALES DE LA LITERATURA ESPANOLA CONTEMPORANEA","0272-1635","","TEMPLE UNIV, DEPT SPANISH & PORTUGUESE","1114 BERKS ST, PHILADELPHIA, USA, PA, 19122","","Literature"
"ANALES DE LITERATURA CHILENA","0717-6058","","PONTIFICIA UNIV CATOLICA CHILE, FAC LETRAS ,","CENTRO ESTUDIOS LITERATURA CHILENA, AV VICUNA MACKENNA 4860, SANTIAGO, CHILE, 00000","","Literature"
"ANALYSIS","0003-2638","1467-8284","OXFORD UNIV PRESS","GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP","","Philosophy"
"ANALYTIC PHILOSOPHY","2153-9596","2153-960X","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","","Philosophy"
"ANATOLIAN STUDIES","0066-1546","2048-0849","CAMBRIDGE UNIV PRESS","32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473","","Archaeology"
"ANCIENT MESOAMERICA","0956-5361","1469-1787","CAMBRIDGE UNIV PRESS","32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473","","Archaeology"
"ANGELAKI-JOURNAL OF THE THEORETICAL HUMANITIES","0969-725X","1469-2899","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","","General"
"ANGLIA-ZEITSCHRIFT FUR ENGLISCHE PHILOLOGIE","0340-5222","1865-8938","WALTER DE GRUYTER GMBH","GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785","","Language & Linguistics"
"ANNALES-ANALI ZA ISTRSKE IN MEDITERANSKE STUDIJE-SERIES HISTORIA ET SOCIOLOGIA","1408-5348","2591-1775","HISTORICAL SOC SOUTHERN PRIMORSKA KOPER-HSSP","GARIBALDIJEVA 18, KOPER, SLOVENIA, 6000","Croatian, English, Italian, Slovenian","General"
"ANNALES DE BRETAGNE ET DES PAYS DE L OUEST","0399-0826","2108-6443","UNIV HAUTE-BRETAGNE","ANN BRETAGNE PAYS OUEST AVE GASTON-BERGER, RENNES, FRANCE, 35000","","History"
"ANNALES HISTORIQUES DE LA REVOLUTION FRANCAISE","0003-4436","1952-403X","SOC ETUDES ROBESPIERRISTES","17 RUE DE LA SORBONNE, PARIS CEDEX 05, FRANCE, 75231","","History"
"ANNALS OF SCIENCE","0003-3790","1464-505X","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","Multi-Language","History"
"ANQ-A QUARTERLY JOURNAL OF SHORT ARTICLES NOTES AND REVIEWS","0895-769X","1940-3364","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","","Literature"
"ANTHROPOZOOLOGICA","0761-3032","2107-0881","PUBLICATIONS SCIENTIFIQUES DU MUSEUM, PARIS","CP 39-57, RUE CUVIER, PARIS CEDEX 05, FRANCE, F-75231","French","Archaeology"
