"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"ADVANCES IN LIFE COURSE RESEARCH","1040-2608","1040-2608","ELSEVIER SCI LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB","English","Sociology & Social Sciences"
"ADVANCES IN NEONATAL CARE","1536-0903","1536-0911","LIPPINCOTT WILLIAMS & WILKINS","TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103","English","Public Health & Health Care Science"
"ADVANCES IN NURSING SCIENCE","0161-9268","1550-5014","LIPPINCOTT WILLIAMS & WILKINS","TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103","English","Public Health & Health Care Science"
"AERA OPEN","2332-8584","2332-8584","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Education"
"AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK","0886-1099","1552-3020","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Social Work & Social Policy"
"AFRICA","0001-9720","1750-0184","CAMBRIDGE UNIV PRESS","EDINBURGH BLDG, SHAFTESBURY RD, CAMBRIDGE, ENGLAND, CB2 8RU","English","Sociology & Social Sciences"
"AFRICAN AFFAIRS","0001-9909","1468-2621","OXFORD UNIV PRESS","GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP","English","Political Science & Public Administration"
"AFRICAN ARCHAEOLOGICAL REVIEW","0263-0338","1572-9842","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Anthropology"
"AFRICAN DEVELOPMENT REVIEW-REVUE AFRICAINE DE DEVELOPPEMENT","1017-6772","1467-8268","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Environmental Studies, Geography & Development"
"AFRICAN JOURNALISM STUDIES","2374-3670","2374-3689","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Communication"
"AFRICAN JOURNAL OF REPRODUCTIVE HEALTH","1118-4841","2141-3606","WOMENS HEALTH & ACTION RESEARCH CENTRE","IGUE-IHEYA VILLAGE, BENIN-LAGOS EXPRESS RD, PO BOX 10231, UGBOWO, BENIN CITY, NIGERIA, EDO STATE, 00000","English","Public Health & Health Care Science"
"AFRICAN STUDIES REVIEW","0002-0206","1555-2462","CAMBRIDGE UNIV PRESS","32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473","English","Sociology & Social Sciences"
"AGEING & SOCIETY","0144-686X","1469-1779","CAMBRIDGE UNIV PRESS","32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473","English","Public Health & Health Care Science"
