"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"STUDIA GEOPHYSICA ET GEODAETICA","0039-3169","1573-1626","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Earth Sciences"
"STUDIA LOGICA","0039-3215","1572-8730","SPRINGER","VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ","English","Mathematics"
"STUDIA MATHEMATICA","0039-3223","1730-6337","POLISH ACAD SCIENCES INST MATHEMATICS-IMPAN","8 SNIADECKICH ST, WARSZAWA, POLAND, PL 00 656","Multi-Language","Mathematics"
"STUDIES IN APPLIED MATHEMATICS","0022-2526","1467-9590","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Mathematics"
"STUDIES IN HISTORY AND PHILOSOPHY OF MODERN PHYSICS","1355-2198","1879-2502","ELSEVIER SCI LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB","English","Physics"
"SUPERCONDUCTOR SCIENCE & TECHNOLOGY","0953-2048","1361-6668","IOP PUBLISHING LTD","TEMPLE CIRCUS, TEMPLE WAY, BRISTOL, ENGLAND, BS1 6BE","English","Applied Physics/Condensed Matter/Materials Science"
"SUPERLATTICES AND MICROSTRUCTURES","0749-6036","1096-3677","ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD","24-28 OVAL RD, LONDON, ENGLAND, NW1 7DX","English","Applied Physics/Condensed Matter/Materials Science"
"SUPRAMOLECULAR CHEMISTRY","1061-0278","1029-0478","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","English","Chemistry"
"SURFACE AND INTERFACE ANALYSIS","0142-2421","1096-9918","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Physical Chemistry/Chemical Physics"
"SURFACE INNOVATIONS","2050-6252","2050-6260","ICE PUBLISHING","INST CIVIL ENGINEERS, 1 GREAT GEORGE ST, WESTMINISTER, ENGLAND, SW 1P 3AA","English","Applied Physics/Condensed Matter/Materials Science"
"SURFACE REVIEW AND LETTERS","0218-625X","1793-6667","WORLD SCIENTIFIC PUBL CO PTE LTD","5 TOH TUCK LINK, SINGAPORE, SINGAPORE, 596224","English","Applied Physics/Condensed Matter/Materials Science"
"SURFACES AND INTERFACES","2468-0230","2468-0230","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX","English","Applied Physics/Condensed Matter/Materials Science"
"SURFACE SCIENCE","0039-6028","1879-2758","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX","English","Physical Chemistry/Chemical Physics"
"SURFACE SCIENCE REPORTS","0167-5729","1879-274X","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX","English","Physical Chemistry/Chemical Physics"
"SURFACE TOPOGRAPHY-METROLOGY AND PROPERTIES","2051-672X","2051-672X","IOP PUBLISHING LTD","TEMPLE CIRCUS, TEMPLE WAY, BRISTOL, ENGLAND, BS1 6BE","English","Applied Physics/Condensed Matter/Materials Science"
"SURVEYS IN GEOPHYSICS","0169-3298","1573-0956","SPRINGER","VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ","English","Earth Sciences"
"SUSTAINABLE CHEMISTRY AND PHARMACY","2352-5541","2352-5541","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX","English","Chemistry"
"SUSTAINABLE ENERGY & FUELS","2398-4902","2398-4902","ROYAL SOC CHEMISTRY","THOMAS GRAHAM HOUSE, SCIENCE PARK, MILTON RD, CAMBRIDGE, ENGLAND, CAMBS, CB4 0WF","English","Multidisciplinary"
"SUSTAINABLE MATERIALS AND TECHNOLOGIES","2214-9937","2214-9937","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX","English","Applied Physics/Condensed Matter/Materials Science"
"SWISS JOURNAL OF GEOSCIENCES","1661-8726","1661-8734","SPRINGER BASEL AG","PICASSOPLATZ 4, BASEL, SWITZERLAND, 4052","English","Earth Sciences"
"SWISS JOURNAL OF PALAEONTOLOGY","1664-2376","1664-2384","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121","English","Earth Sciences"
"SYMMETRY-BASEL","2073-8994","2073-8994","MDPI","ST ALBAN-ANLAGE 66, BASEL, SWITZERLAND, CH-4052","English","Multidisciplinary"
"SYMMETRY INTEGRABILITY AND GEOMETRY-METHODS AND APPLICATIONS","1815-0659","1815-0659","NATL ACAD SCI UKRAINE, INST MATH","3 TERESCHCHENKIV SKA ST, KYIV 4, UKRAINE, 01601","English","Physics"
"SYNLETT","0936-5214","1437-2096","GEORG THIEME VERLAG KG","RUDIGERSTR 14, STUTTGART, GERMANY, D-70469","English","Organic Chemistry/Polymer Science"
"SYNTHESIS-STUTTGART","0039-7881","1437-210X","GEORG THIEME VERLAG KG","RUDIGERSTR 14, STUTTGART, GERMANY, D-70469","Multi-Language","Organic Chemistry/Polymer Science"
"SYNTHETIC COMMUNICATIONS","0039-7911","1532-2432","TAYLOR & FRANCIS INC","530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106","English","Organic Chemistry/Polymer Science"
"SYNTHETIC METALS","0379-6779","","ELSEVIER SCIENCE SA","PO BOX 564, LAUSANNE, SWITZERLAND, 1001","English","Applied Physics/Condensed Matter/Materials Science"
"TAIWANESE JOURNAL OF MATHEMATICS","1027-5487","2224-6851","MATHEMATICAL SOC REP CHINA","NATL CHIAO TUNG UNIV, DEPT APPLIED MATHEMATICS,, HSINCHU, TAIWAN, 00000","English","Mathematics"
"TALANTA","0039-9140","1873-3573","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX","English","Spectroscopy/Instrumentation/Analytical Sciences"
"TECHNICAL PHYSICS","1063-7842","1090-6525","PLEIADES PUBLISHING INC","PLEIADES HOUSE, 7 W 54 ST, NEW YORK, United States,  NY, 10019","English","Applied Physics/Condensed Matter/Materials Science"
"TECHNICAL PHYSICS LETTERS","1063-7850","1090-6533","MAIK NAUKA/INTERPERIODICA/SPRINGER","233 SPRING ST, NEW YORK, USA, NY, 10013-1578","English","Applied Physics/Condensed Matter/Materials Science"
"TECHNOMETRICS","0040-1706","1537-2723","AMER STATISTICAL ASSOC","732 N WASHINGTON ST, ALEXANDRIA, USA, VA, 22314-1943","English","Mathematics"
"TECTONICS","0278-7407","1944-9194","AMER GEOPHYSICAL UNION","2000 FLORIDA AVE NW, WASHINGTON, USA, DC, 20009","English","Earth Sciences"
"TECTONOPHYSICS","0040-1951","1879-3266","ELSEVIER","RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX","Multi-Language","Earth Sciences"
"TELLUS SERIES A-DYNAMIC METEOROLOGY AND OCEANOGRAPHY","1600-0870","1600-0870","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","English","Earth Sciences"
"TELLUS SERIES B-CHEMICAL AND PHYSICAL METEOROLOGY","1600-0889","1600-0889","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","English","Earth Sciences"
